time,personID,problemID,1st,1st_reason,2nd,2nd_reason,3rd,3rd_reason,others,understanding,free
12/10/2022 23:35:03,3,1,8,尺取り法は特定の連続部分列に対する処理を全探索ではなく、左端と右端を上手くずらすことでO(N)に抑えるアルゴリズムだが、7行目と合わせてコアの部分だから。,7,8行目と合わせて尺取り法のコアの部分だが、問題特有の処理はないから。,2,要素に0が含まれている時の例外処理はこの問題固有のものだから。,,とても理解できた。,
12/10/2022 23:41:21,3,2,37,RSQはセグ木を使えば計算量的に効率よく解けることに気付ければ後はセグ木を作れるorとってこれるかだけなので。,21,一応セグ木というデータ構造における重要なのは更新式をこの式で再帰的に（ここではwhile文だが）行えることだから。,29,一応セグ木というデータ構造における重要なのはクエリをこの式で再帰的に（ここではwhile文だが）行えることだから。,,まあ理解できた。,
12/10/2022 23:49:48,3,3,12,バケツソートでどこが重要かは難しいところだがしいて言えば計数後に順番に配列をつくるところ、かもしれないから。,13,数後に順番に配列をつくるところでまあインデックス管理も重要かな、と思ったから。,7,計数しているところもしいて言えば重要かもしれないと思ったから。,,とても理解できた。,
12/11/2022 0:34:39,3,4,18,この問題のコアは二分探索木というデータ構造そのものだと思うのですが、二分探索木で一番大事なのはまあここのwhileだけでinsert or  検索位置がわかることかなと思ったからです。,30,問題に効率よくこたえるためには不可欠なメソッドだから。逆に言えばコアな部分ではない。,36,問題に効率よくこたえるためには不可欠なメソッドだから。逆に言えばコアな部分ではない。,,とても理解できた。,
12/11/2022 0:47:43,3,5,29,dfsで解けるということがこの問題で一番コアな部分だと思うので。,19,今回の問題のコアであるdfsで一番大事なのはここの再帰構造だと思うので。,24,この問題特有の部分は、ただdfsを回すだけではなく一応全ての頂点についてチェックしなければいけないことだから。,,とても理解できた。,
12/11/2022 0:52:52,3,6,10,ナップサック問題は要はdpで解けることが一番大事だが、そのコアはここの遷移式なので。,8,dpは状態を適切に管理することで全探索を効率化することだと考えられるが、9行目と合わせてここが全探索部分なので。,9,dpは状態を適切に管理することで全探索を効率化することだと考えられるが、8行目と合わせてここが全探索部分なので。,,とても理解できた。,
12/11/2022 0:57:18,3,7,26,この問題の一番コアなところは二分探索を使って効率的に探索できることに気付くことなので。,9,この問題で一番大事なアルゴリズム二分探索の大事な部分は、ここで区間を半分にしながら探索できることだと思うから。,8,上述した区間を半分にすることを繰り返すことで必要なindexを求められるのが二分探索で大事なところなので、繰り返し処理もまあちょっとは大事かもしれない。,,とても理解できた。,
12/11/2022 1:02:45,3,8,27,この問題のコアなところは、データ構造queueを使えば問題の設定をそのままシミュレーションできることに気付くことなので。,37,queueを使って実際に問題の状況をシミュレートしているところはここだから。,7,リングバッファを用いたqueueのどこが一番大事かは少々微妙だがしいて言えば8行と合わせてここのインデックス管理だけでqueueが実装できることかなあ、と思ったから。,,とても理解できた。,
12/11/2022 1:08:43,3,9,25,この問題で一番コアなのは答えをcombination一発で求められることに気付くことだから。,21,modをとるcombinationの効率的な計算は階乗をつかうことや、階乗の逆元がフェルマーの小定理で求められることが重要だから。,7,9行目と合わせてn乗を求める時に繰り返し2乗法を用いると効率的に求められることが大事だから。,,とても理解できた。,
12/11/2022 1:11:33,3,10,12,レーベンシュタイン距離で一番大事なのはdpで求められることが一番大事だと思うが、そのコアの遷移式はここだから。,10,11行目と合わせてdpで効率化された全探索をしている部分だから。,11,10行目と合わせてdpで効率化された全探索をしている部分だから。,,とても理解できた。,
12/15/2022 19:21:13,3,11,28,クイックソートを含めてソートアルゴリズムが問題の本質だから。,15,クイックソートは境界を決めて左右でswapを繰り返すのが本質だから。,5,swapのための基準であるpivotを決めているところはswapほどではないが重要だと考えた。,,とても理解できた。,
12/15/2022 19:30:15,3,12,37,Segment Treeで解けることがこの問題のコアであるから。,29,Segment Treeでどこが重要かと言われると微妙だがこの式で区間についての演算が高速にできるのはかなり本質だと思う。,21,一点更新が対数時間で実行できるのが重要だがその本質はここの遷移式一発で更新できるからなので。,,とても理解できた。,
12/15/2022 19:33:39,3,13,45,この問題のコアはクラスカル法で最小全域木が構築できることなので。,34,クラスカル法のコアはDSUを使えば最小全域木を構築できることなので。,19,DSUのコアはここのマージテクだと減価償却で計算量が減ることなので。,,とても理解できた。,
12/15/2022 19:38:56,3,14,29,この問題のコアはマージソートを含めソートアルゴリズムで解けることなので。,5,マージソートで重要なのは分割統治と尺取り法だが、分割統治の方が本質だと思ったから。,10,マージソートで重要なアルゴリズムである尺取り法の実装はこの内部だから。,6: 5行目と同様。,とても理解できた。,
12/15/2022 19:57:57,3,15,23,この問題のコアは、厳密にいえば単一始点でちょっと手を加えて解けることなので。,5,ベルマンフォードの本質は探索順序だと思うが、ここの中継点でループを回すところで、扱うノードによる集合を大きくしていっているから。,8,ベルマンフォード法で実際に遷移を行っている部分がここだから。,,とても理解できた。,
