time,personID,problemID,1st,1st_reason,2nd,2nd_reason,3rd,3rd_reason,others,understanding,free
12/8/2022 21:41:14,1,5,19,初めに見つけたノードから優先して探索するというDFSのアルゴリズムを端的に表す部分だと考え，最も重要とした.,20,再帰関数が閉じた後に操作を行うことで，隣接頂点を調べ終えた後に操作をすることを保証する部分であり，重要だと考えた．DFSの本質ではないが，発想も簡単ではないと感じるので，2番目とした．,15,再帰関数が呼ばれた直後に操作を行うことで，ノードを訪れた直後に操作を行うことを表す部分であるため重要だと考えた．解答に直結しているものの，DFSの本質ではなく，また2番目に選んだ箇所よりも発想として容易だと考え，3番目とした．,,とても理解できた。,
12/30/2022 17:25:08,10,5,17,訪れたことがあるノードをはとばすことが重要であると思ったから。,19,再帰を使っていることも、計算量的に重要だと思ったから。使わなくても、dfsはできるので1番ほど重要でないと思った。,20,v  の隣接リストを調べ終えた完了時刻を記録していて、1番や2番ほどではないが、重要だと思ったため。,,まあ理解できた。,
1/3/2023 5:06:13,11,5,19,再帰にすることでDFSを実装しているので自身を呼び出すところが重要だと思いました．,20,"完了時刻を求めないといけないので，自身を呼び出した後で時間を計測している箇所を選びました．再帰がどういう操作になっているかを理解していないと，この場所に書けないと思いました．
完了時刻は必ずしも問題にならないので2番目です．",17,"到達したところを管理しておかないと無限におわらなくなってしまうので，大切です．
DFSする上で注意するポイントという位置付けで，DFSそのものからは外れるかなと思ったので，3番目です．",,とても理解できた。,
12/15/2022 11:20:40,2,5,19,DFSは再帰関数を用いて実装することが多いが、その再帰関数を呼び出している部分であるから。,14,この問題では入った・出た時刻を答える必要があり、その時刻を再帰関数を呼び出しても正しく動作するようにグローバル変数として宣言している部分であるから。,5,グラフの隣接リスト表現を配列Gに作っている部分であるから。直接問題を解く部分ではないが、グラフの扱い方の知識としては重要であると考えた。,,とても理解できた。,
12/11/2022 0:47:43,3,5,29,dfsで解けるということがこの問題で一番コアな部分だと思うので。,19,今回の問題のコアであるdfsで一番大事なのはここの再帰構造だと思うので。,24,この問題特有の部分は、ただdfsを回すだけではなく一応全ての頂点についてチェックしなければいけないことだから。,,とても理解できた。,
12/21/2022 11:56:29,4,5,19,dfs_subという関数を再起的に呼び出すという、深さ優先探索の本質的な処理をしているため。,15,発見時刻を表すリストを更新している部分だから。DFSの本質ではないがこの値は回答に必要。,20,完了時刻を表すリストを更新している部分だから。どの部分でこの処理を行うかを考えるのは比較的簡単。,,まあ理解できた。,
12/28/2022 15:11:51,5,5,19,自分自身を呼び出しており、再帰を利用したDFSであることが明確にわかるから,5,DFSの問題なので再帰部分が最も大事だが、それが扱う隣接リストの構造が明確に分かる部分だから,25,頂点で探索を打ち切ることが伝わるため、再帰・隣接リストの構造と合わせてDFSアルゴリズムの全体を理解できるようになるから,"15,20 : 探索開始・終了時刻をどのタイミングで記録しているかがわかりやすいから",とても理解できた。,
12/14/2022 14:10:29,6,5,19,深さ優先探索の実装の特徴である、再起的呼び出しを行っている部分だから。,15,解答となるタイムスタンプを更新している部分だから。1 番ではないのは、比較的自明だと言えるから。,20,解答となるタイムスタンプを更新している部分だから。実際 2 番と同程度に重要だと思う。,,とても理解できた。,
12/13/2022 21:42:52,7,5,19,深さ優先探索が再帰関数で実現可能であるということがここの一行で現れているから．,20,"その頂点の探索終了時間は，そこに続く頂点の探索が全て終わった後にするため，for文を抜けた後に終了時刻を記録するという間違えやすい条件がここで現れているから．
1番でない理由としては，深さ優先探索自体のアルゴリズムの実現の方が重要であると考えたから．",26,"未発見の頂点がある場合はそこを支点に深さ優先探索を始めていくことで，全ての点を網羅することができるということがこの一行で現れているから．
3番である理由はこのことは問題文でも指摘されていることだから．",17: 一度現れた頂点は無視することで，ループに陥ってしまうことを防いでいる．,まあ理解できた。,
12/17/2022 22:04:00,8,5,18,深さ優先探索をしているということがよく読み取れる一文だから。,19,1番と同じような理由だが、深さ優先探索で、１つ掘り下げるのが終わった時の処理を表していて、重要だから。1番と同じくらい重要だと思った。,5,inputのデータを加工して使いやすい形のリストにしているから。データ処理の話なので、重要度は劣ると思った。,,とても理解できた。,
12/15/2022 20:54:01,9,5,19,深さ優先探索の方法（今いる頂点と隣り合っている頂点の再帰呼び出し）を表しており、アルゴリズムの本質部分であるため、最も重要であると考えている。,17,深さ優先探索で、一度訪れた頂点を訪れないようにする処理が書かれており、探索が終わらないことを防止する役割があるから。ただ、探索の方法のほうが重要であると考えているため、1番大事というわけではないと考えている。,15,訪れた時間帯を記録する箇所であり、結果を出力する上では大事であるが、アルゴリズムの本質部分ではないから。,20行目。15行目同様に、訪れた時間帯を記録しているため、15行目と同じく重要である。,とても理解できた。,
